trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Busstation,Station Maarssen,5,40,6,36,56
2,Busstation,Station Maarssen,5,54,6,51,57
3,Busstation,Station Maarssen,6,8,7,6,58
4,Busstation,Station Maarssen,6,21,7,21,60
5,Busstation,Station Maarssen,6,35,7,36,61
6,Busstation,Station Maarssen,6,45,7,46,61
7,Busstation,Station Maarssen,6,54,7,56,62
8,Busstation,Station Maarssen,7,3,8,6,63
9,Busstation,Station Maarssen,7,12,8,16,64
10,Busstation,Station Maarssen,7,21,8,26,65
11,Busstation,Station Maarssen,7,32,8,36,64
12,Busstation,Station Maarssen,7,42,8,46,64
13,Busstation,Station Maarssen,7,52,8,56,64
14,Busstation,Station Maarssen,8,2,9,6,64
15,Busstation,Station Maarssen,8,12,9,16,64
16,Busstation,Station Maarssen,8,23,9,26,63
17,Busstation,Station Maarssen,8,34,9,36,62
18,Busstation,Station Maarssen,8,44,9,46,62
19,Busstation,Station Maarssen,8,54,9,56,62
20,Busstation,Station Maarssen,9,4,10,6,62
21,Busstation,Station Maarssen,9,14,10,16,62
22,Busstation,Station Maarssen,9,24,10,26,62
23,Busstation,Station Maarssen,9,34,10,36,62
24,Busstation,Station Maarssen,9,44,10,46,62
25,Busstation,Station Maarssen,9,54,10,56,62
26,Busstation,Station Maarssen,10,4,11,6,62
27,Busstation,Station Maarssen,10,14,11,16,62
28,Busstation,Station Maarssen,10,24,11,26,62
29,Busstation,Station Maarssen,10,34,11,36,62
30,Busstation,Station Maarssen,10,44,11,46,62
31,Busstation,Station Maarssen,10,54,11,56,62
32,Busstation,Station Maarssen,11,4,12,6,62
33,Busstation,Station Maarssen,11,13,12,16,63
34,Busstation,Station Maarssen,11,22,12,26,64
35,Busstation,Station Maarssen,11,32,12,36,64
36,Busstation,Station Maarssen,11,42,12,46,64
37,Busstation,Station Maarssen,11,52,12,56,64
38,Busstation,Station Maarssen,12,2,13,6,64
39,Busstation,Station Maarssen,12,12,13,16,64
40,Busstation,Station Maarssen,12,22,13,26,64
41,Busstation,Station Maarssen,12,32,13,36,64
42,Busstation,Station Maarssen,12,42,13,46,64
43,Busstation,Station Maarssen,12,52,13,56,64
44,Busstation,Station Maarssen,13,2,14,6,64
45,Busstation,Station Maarssen,13,12,14,16,64
46,Busstation,Station Maarssen,13,22,14,26,64
47,Busstation,Station Maarssen,13,32,14,36,64
48,Busstation,Station Maarssen,13,42,14,46,64
49,Busstation,Station Maarssen,13,52,14,56,64
50,Busstation,Station Maarssen,14,2,15,6,64
51,Busstation,Station Maarssen,14,12,15,16,64
52,Busstation,Station Maarssen,14,22,15,26,64
53,Busstation,Station Maarssen,14,31,15,36,65
54,Busstation,Station Maarssen,14,41,15,46,65
55,Busstation,Station Maarssen,14,50,15,56,66
56,Busstation,Station Maarssen,15,0,16,6,66
57,Busstation,Station Maarssen,15,10,16,16,66
58,Busstation,Station Maarssen,15,20,16,26,66
59,Busstation,Station Maarssen,15,30,16,36,66
60,Busstation,Station Maarssen,15,40,16,46,66
61,Busstation,Station Maarssen,15,50,16,56,66
62,Busstation,Station Maarssen,16,1,17,6,65
63,Busstation,Station Maarssen,16,9,17,16,67
64,Busstation,Station Maarssen,16,20,17,26,66
65,Busstation,Station Maarssen,16,30,17,36,66
66,Busstation,Station Maarssen,16,40,17,46,66
67,Busstation,Station Maarssen,16,50,17,56,66
68,Busstation,Station Maarssen,17,0,18,6,66
69,Busstation,Station Maarssen,17,10,18,16,66
70,Busstation,Station Maarssen,17,21,18,26,65
71,Busstation,Station Maarssen,17,32,18,36,64
72,Busstation,Station Maarssen,17,49,18,51,62
73,Busstation,Station Maarssen,18,4,19,6,62
74,Busstation,Station Maarssen,18,19,19,21,62
75,Busstation,Station Maarssen,18,36,19,36,60
76,Busstation,Station Maarssen,18,53,19,51,58
77,Busstation,Station Maarssen,19,8,20,6,58
78,Busstation,Station Maarssen,19,23,20,21,58
79,Busstation,Station Maarssen,19,38,20,36,58
80,Busstation,Station Maarssen,19,53,20,51,58
81,Busstation,Station Maarssen,20,8,21,6,58
82,Busstation,Station Maarssen,20,23,21,21,58
83,Busstation,Station Maarssen,20,38,21,36,58
84,Busstation,Station Maarssen,20,53,21,51,58
85,Busstation,Station Maarssen,21,10,22,6,56
86,Busstation,Station Maarssen,21,25,22,21,56
87,Busstation,Station Maarssen,21,40,22,36,56
88,Busstation,Station Maarssen,21,56,22,51,55
89,Busstation,Station Maarssen,22,12,23,6,54
90,Busstation,Station Maarssen,22,27,23,21,54
91,Busstation,Station Maarssen,22,42,23,36,54
92,Busstation,Station Maarssen,22,58,23,51,53
93,Busstation,Station Maarssen,23,14,24,6,52
94,Busstation,Station Maarssen,23,29,24,21,52
95,Busstation,Station Maarssen,23,44,24,36,52
96,Busstation,Station Maarssen,23,59,24,51,52
97,Busstation,Station Maarssen,24,14,25,6,52
98,Busstation,Station Maarssen,24,30,25,25,55
