trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Nieuwegein City,Station Bilthoven,5,39,6,38,59
2,Nieuwegein City,Station Bilthoven,5,54,6,55,61
3,Nieuwegein City,Station Bilthoven,6,8,7,13,65
4,Nieuwegein City,Station Bilthoven,6,23,7,29,66
5,Nieuwegein City,Station Bilthoven,6,38,7,44,66
6,Nieuwegein City,Station Bilthoven,6,48,7,54,66
7,Nieuwegein City,Station Bilthoven,6,58,8,4,66
8,Nieuwegein City,Station Bilthoven,7,8,8,15,67
9,Nieuwegein City,Station Bilthoven,7,17,8,23,66
10,Nieuwegein City,Station Bilthoven,7,27,8,33,66
11,Nieuwegein City,Station Bilthoven,7,37,8,42,65
12,Nieuwegein City,Station Bilthoven,7,47,8,53,66
13,Nieuwegein City,Station Bilthoven,7,57,9,3,66
14,Nieuwegein City,Station Bilthoven,8,7,9,13,66
15,Nieuwegein City,Station Bilthoven,8,17,9,23,66
16,Nieuwegein City,Station Bilthoven,8,27,9,33,66
17,Nieuwegein City,Station Bilthoven,8,37,9,43,66
18,Nieuwegein City,Station Bilthoven,8,47,9,52,65
19,Nieuwegein City,Station Bilthoven,8,57,10,2,65
20,Nieuwegein City,Station Bilthoven,9,8,10,12,64
21,Nieuwegein City,Station Bilthoven,9,18,10,22,64
22,Nieuwegein City,Station Bilthoven,9,28,10,32,64
23,Nieuwegein City,Station Bilthoven,9,38,10,42,64
24,Nieuwegein City,Station Bilthoven,9,48,10,52,64
25,Nieuwegein City,Station Bilthoven,9,58,11,2,64
26,Nieuwegein City,Station Bilthoven,10,8,11,13,65
27,Nieuwegein City,Station Bilthoven,10,18,11,24,66
28,Nieuwegein City,Station Bilthoven,10,28,11,34,66
29,Nieuwegein City,Station Bilthoven,10,38,11,44,66
30,Nieuwegein City,Station Bilthoven,10,48,11,54,66
31,Nieuwegein City,Station Bilthoven,10,58,12,4,66
32,Nieuwegein City,Station Bilthoven,11,8,12,14,66
33,Nieuwegein City,Station Bilthoven,11,18,12,24,66
34,Nieuwegein City,Station Bilthoven,11,28,12,34,66
35,Nieuwegein City,Station Bilthoven,11,38,12,44,66
36,Nieuwegein City,Station Bilthoven,11,48,12,54,66
37,Nieuwegein City,Station Bilthoven,11,58,13,4,66
38,Nieuwegein City,Station Bilthoven,12,8,13,14,66
39,Nieuwegein City,Station Bilthoven,12,18,13,24,66
40,Nieuwegein City,Station Bilthoven,12,28,13,34,66
41,Nieuwegein City,Station Bilthoven,12,38,13,44,66
42,Nieuwegein City,Station Bilthoven,12,48,13,54,66
43,Nieuwegein City,Station Bilthoven,12,58,14,4,66
44,Nieuwegein City,Station Bilthoven,13,8,14,14,66
45,Nieuwegein City,Station Bilthoven,13,18,14,24,66
46,Nieuwegein City,Station Bilthoven,13,28,14,34,66
47,Nieuwegein City,Station Bilthoven,13,38,14,44,66
48,Nieuwegein City,Station Bilthoven,13,48,14,54,66
49,Nieuwegein City,Station Bilthoven,13,58,15,4,66
50,Nieuwegein City,Station Bilthoven,14,8,15,14,66
51,Nieuwegein City,Station Bilthoven,14,18,15,24,66
52,Nieuwegein City,Station Bilthoven,14,28,15,34,66
53,Nieuwegein City,Station Bilthoven,14,38,15,44,66
54,Nieuwegein City,Station Bilthoven,14,48,15,54,66
55,Nieuwegein City,Station Bilthoven,14,58,16,4,66
56,Nieuwegein City,Station Bilthoven,15,8,16,15,67
57,Nieuwegein City,Station Bilthoven,15,18,16,26,68
58,Nieuwegein City,Station Bilthoven,15,28,16,36,68
59,Nieuwegein City,Station Bilthoven,15,38,16,46,68
60,Nieuwegein City,Station Bilthoven,15,48,16,57,69
61,Nieuwegein City,Station Bilthoven,15,58,17,7,69
62,Nieuwegein City,Station Bilthoven,16,7,17,17,70
63,Nieuwegein City,Station Bilthoven,16,17,17,26,69
64,Nieuwegein City,Station Bilthoven,16,27,17,35,68
65,Nieuwegein City,Station Bilthoven,16,37,17,45,68
66,Nieuwegein City,Station Bilthoven,16,47,17,55,68
67,Nieuwegein City,Station Bilthoven,16,57,18,4,67
68,Nieuwegein City,Station Bilthoven,17,7,18,13,66
69,Nieuwegein City,Station Bilthoven,17,17,18,23,66
70,Nieuwegein City,Station Bilthoven,17,27,18,32,65
71,Nieuwegein City,Station Bilthoven,17,37,18,42,65
72,Nieuwegein City,Station Bilthoven,17,52,18,56,64
73,Nieuwegein City,Station Bilthoven,18,8,19,11,63
74,Nieuwegein City,Station Bilthoven,18,24,19,26,62
75,Nieuwegein City,Station Bilthoven,18,39,19,41,62
76,Nieuwegein City,Station Bilthoven,18,53,19,55,62
77,Nieuwegein City,Station Bilthoven,19,8,20,10,62
78,Nieuwegein City,Station Bilthoven,19,23,20,25,62
79,Nieuwegein City,Station Bilthoven,19,38,20,40,62
80,Nieuwegein City,Station Bilthoven,19,53,20,55,62
81,Nieuwegein City,Station Bilthoven,20,8,21,10,62
82,Nieuwegein City,Station Bilthoven,20,23,21,25,62
83,Nieuwegein City,Station Bilthoven,20,38,21,40,62
84,Nieuwegein City,Station Bilthoven,20,53,21,55,62
85,Nieuwegein City,Station Bilthoven,21,8,22,10,62
86,Nieuwegein City,Station Bilthoven,21,23,22,25,62
87,Nieuwegein City,Station Bilthoven,21,38,22,40,62
88,Nieuwegein City,Station Bilthoven,21,53,22,54,61
89,Nieuwegein City,Station Bilthoven,22,9,23,9,60
90,Nieuwegein City,Station Bilthoven,22,24,23,24,60
91,Nieuwegein City,Station Bilthoven,22,39,23,37,58
92,Nieuwegein City,Station Bilthoven,22,54,23,51,57
93,Nieuwegein City,Station Bilthoven,23,10,24,6,56
94,Nieuwegein City,Station Bilthoven,23,25,24,21,56
95,Nieuwegein City,Station Bilthoven,23,40,24,36,56
96,Nieuwegein City,Station Bilthoven,23,55,24,51,56
97,Nieuwegein City,Station Bilthoven,24,10,25,6,56
98,Nieuwegein City,Station Bilthoven,24,31,25,30,59
