trip_index,start_hour,start_min,end_hour,end_min,duration_min
1,5,52,6,29,37
2,6,7,6,44,37
3,6,21,6,59,38
4,6,35,7,14,39
5,6,48,7,29,41
6,6,57,7,39,42
7,7,5,7,49,44
8,7,15,7,59,44
9,7,24,8,9,45
10,7,33,8,19,46
11,7,42,8,29,47
12,7,52,8,39,47
13,8,3,8,49,46
14,8,14,8,59,45
15,8,24,9,9,45
16,8,34,9,19,45
17,8,45,9,29,44
18,9,1,9,44,43
19,9,16,9,59,43
20,9,31,10,14,43
21,9,46,10,29,43
22,10,1,10,44,43
23,10,16,10,59,43
24,10,31,11,14,43
25,10,46,11,29,43
26,11,1,11,44,43
27,11,16,11,59,43
28,11,29,12,14,45
29,11,44,12,29,45
30,11,59,12,44,45
31,12,14,12,59,45
32,12,29,13,14,45
33,12,44,13,29,45
34,12,59,13,44,45
35,13,14,13,59,45
36,13,29,14,14,45
37,13,44,14,29,45
38,13,59,14,44,45
39,14,14,14,59,45
40,14,29,15,14,45
41,14,44,15,29,45
42,14,54,15,39,45
43,15,4,15,49,45
44,15,14,15,59,45
45,15,24,16,9,45
46,15,34,16,19,45
47,15,44,16,29,45
48,15,54,16,39,45
49,16,4,16,49,45
50,16,14,16,59,45
51,16,24,17,9,45
52,16,34,17,19,45
53,16,44,17,29,45
54,16,54,17,39,45
55,17,5,17,49,44
56,17,16,17,59,43
57,17,26,18,9,43
58,17,36,18,19,43
59,17,46,18,29,43
60,18,1,18,44,43
61,18,17,18,59,42
62,18,33,19,14,41
63,18,48,19,29,41
64,19,3,19,44,41
65,19,18,19,59,41
66,19,33,20,14,41
67,19,48,20,29,41
68,20,3,20,44,41
69,20,18,20,59,41
70,20,33,21,14,41
71,20,48,21,29,41
72,21,5,21,44,39
73,21,20,21,59,39
74,21,35,22,14,39
75,21,50,22,29,39
76,22,5,22,44,39
77,22,22,22,59,37
78,22,37,23,14,37
79,22,52,23,29,37
80,23,7,23,44,37
81,23,22,23,59,37
82,23,37,24,14,37
83,23,53,24,30,37
84,24,8,24,45,37
85,24,24,25,1,37
86,24,40,25,20,40
