duty_id,pow_ids,route_ids,start_time,end_time,span
1,"[99, 3, 107, 13, 117, 23, 127, 33, 137]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",346,790,444
2,"[1, 104, 10, 114, 20, 124, 30, 134, 40]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",363,809,446
3,"[100, 4, 108, 14, 118, 24, 128, 34, 138]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",361,800,439
4,"[2, 105, 11, 115, 21, 125, 31, 135, 41]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",378,819,441
5,"[101, 5, 109, 15, 119, 25, 129, 35, 139]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",376,810,434
6,"[102, 7, 111, 17, 121, 27, 131, 37, 141]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",391,830,439
7,"[103, 9, 113, 19, 123, 29, 133, 39, 143]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",401,850,449
8,"[6, 110, 16, 120, 26, 130, 36, 140, 46]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",422,869,447
9,"[106, 12, 116, 22, 126, 32, 136, 42, 146]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",431,880,449
10,"[8, 112, 18, 122, 28, 132, 38, 142, 48]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",442,889,447
11,"[43, 147, 53, 157, 63, 167, 73, 175, 79]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",792,1229,437
12,"[44, 148, 54, 158, 64, 168, 74, 176, 80]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",802,1244,442
13,"[45, 149, 55, 159, 65, 169, 75, 177, 81]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",812,1259,447
14,"[144, 50, 154, 60, 164, 70, 173, 77, 179, 83]","[-1, 1, -1, 1, -1, 1, -1, 1, -1, 1]",811,1289,478
15,"[145, 51, 155, 61, 165, 71, 174, 78, 180]","[-1, 1, -1, 1, -1, 1, -1, 1, -1]",821,1259,438
16,"[47, 151, 57, 161, 67, 171, 76, 178, 82]","[1, -1, 1, -1, 1, -1, 1, -1, 1]",832,1274,442
17,"[49, 153, 59, 163, 69]","[1, -1, 1, -1, 1]",852,1099,247
18,"[150, 56, 160, 66, 170]","[-1, 1, -1, 1, -1]",871,1120,249
19,"[52, 156, 62, 166, 72]","[1, -1, 1, -1, 1]",882,1129,247
20,"[152, 58, 162, 68, 172]","[-1, 1, -1, 1, -1]",891,1141,250
21,"[181, 85, 187, 91, 193, 96]","[-1, 1, -1, 1, -1, 1]",1231,1484,253
22,"[182, 86, 188, 92, 194, 97]","[-1, 1, -1, 1, -1, 1]",1246,1499,253
23,"[84, 186, 90, 192, 95, 196]","[1, -1, 1, -1, 1, -1]",1263,1512,249
24,"[183, 87, 189, 93, 195, 98]","[-1, 1, -1, 1, -1, 1]",1261,1523,262
25,"[184, 88, 190, 94]","[-1, 1, -1, 1]",1276,1454,178
26,"[185, 89, 191]","[-1, 1, -1]",1291,1420,129
27,"[197, 300, 305, 310, 315, 320, 325, 330, 335, 340]","[3, -3, -3, -3, -3, -3, -3, -3, -3, -3]",343,813,470
28,"[299, 199, 204, 209, 214, 219, 224, 229, 234, 239]","[-3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",343,813,470
29,"[198, 302, 306, 311, 316, 321, 326, 331, 336, 341]","[3, -3, -3, -3, -3, -3, -3, -3, -3, -3]",343,823,480
30,"[301, 201, 205, 210, 215, 220, 225, 230, 235, 240]","[-3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",358,823,465
31,"[200, 304, 308, 313, 318, 323, 328, 333, 338]","[3, -3, -3, -3, -3, -3, -3, -3, -3]",358,793,435
32,"[303, 203, 207, 212, 217, 222, 227, 232, 237, 343]","[-3, 3, 3, 3, 3, 3, 3, 3, 3, -3]",373,844,471
33,[202],[3],373,392,19
34,"[307, 312, 317, 322, 327, 332, 337, 342, 347]","[-3, -3, -3, -3, -3, -3, -3, -3, -3]",436,885,449
35,"[206, 211, 216, 221, 226, 231, 236, 241, 246]","[3, 3, 3, 3, 3, 3, 3, 3, 3]",436,885,449
36,"[309, 314, 319, 324, 329, 334, 339, 344, 349]","[-3, -3, -3, -3, -3, -3, -3, -3, -3]",456,905,449
37,"[208, 213, 218, 223, 228, 233, 238, 243, 248]","[3, 3, 3, 3, 3, 3, 3, 3, 3]",456,905,449
38,"[242, 348, 353, 358, 363, 368, 373, 377, 380]","[3, -3, -3, -3, -3, -3, -3, -3, -3]",796,1236,440
39,"[345, 350, 355, 360, 365, 370, 375, 378, 381, 384]","[-3, -3, -3, -3, -3, -3, -3, -3, -3, -3]",816,1293,477
